pollster,sample,sample_2,candidate,points,poll_start,poll_end
A-CNN/SSRS,411,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,warren,7,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,buttigieg,0,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,booker,8,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,sanders,14,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,delaney,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,h_clinton,16,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,biden,30,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,gabbard,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,sanders,22,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,o_rourke,5,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,booker,3,2019-06-06,2019-06-10
AFox News,403,Likely Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,h_clinton,5,2019-06-06,2019-06-10
AFox News,403,Likely Voters,inslee,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,messam,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,biden,33,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,williamson,1,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,bullock,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,yang,2,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,delaney,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,warren,19,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,gillibrand,2,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,yang,2,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,o_rourke,7,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,harris,8,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,castro,0,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,sanders,15,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,o_rourke,6,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,sanders,15,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,buttigieg,3,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,warren,8,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,biden,25,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,swalwell,1,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,biden,31,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,newsom,1,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,sanders,21,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,messam,0,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,buttigieg,2,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,williamson,0,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,delaney,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,inslee,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,brown,1,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,o_rourke,6,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,hickenlooper,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,harris,7,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,biden,45,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,sanders,23,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,booker,2,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,harris,8,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,brown,1,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,warren,7,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,buttigieg,8,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,sanders,15,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,castro,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,bullock,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,booker,3,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,delaney,0,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,messam,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,biden,31,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,messam,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,biden,28,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,warren,10,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,yang,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,warren,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,buttigieg,3,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,ryan,2,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,sanders,25,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,swalwell,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,castro,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,yang,1,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,biden,46,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,booker,5,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,yang,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,booker,2,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,swalwell,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,gravel,1,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,castro,2,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,o_rourke,3,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,yang,2,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,castro,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,warren,8,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,castro,1,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,yang,2,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,sanders,29,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,garcetti,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,holder,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,bennet,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,delaney,0,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,booker,3,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,brown,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,harris,17,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,cuomo,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,delaney,1,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,harris,8,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
BYouGov,550,Adults,harris,8,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,inslee,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,winfrey,3,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,mc_auliffe,1,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,sanders,22,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,castro,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,delaney,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,ryan,0,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,sanders,16,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,abrams,2,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,garcetti,0,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,inslee,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,buttigieg,7,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,buttigieg,17,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,o_rourke,9,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,castro,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,williamson,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,castro,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,garcetti,0,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,o_rourke,2,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,warren,11,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,biden,29,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,williamson,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,kerry,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,o_rourke,9,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,buttigieg,9,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,castro,0,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,buttigieg,5,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,hickenlooper,0,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,castro,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,swalwell,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,messam,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,buttigieg,4,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,castro,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,biden,39,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,booker,3,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,bloomberg,0,2019-06-06,2019-06-10
BYouGov,550,Adults,warren,11,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,h_clinton,6,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,buttigieg,7,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,gabbard,1,2019-06-06,2019-06-10
AFox News,403,Likely Voters,bennet,0,2019-06-06,2019-06-10
C+Harris Interactive,449,Registered Voters,harris,3,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,harris,11,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,swalwell,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,o_rourke,3,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,warren,4,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,winfrey,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,schultz,0,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,warren,10,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,mc_auliffe,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,bennet,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,gabbard,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,bennet,0,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,moulton,0,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,bullock,0,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,booker,2,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,harris,9,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,gillibrand,0,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,delaney,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,harris,7,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,warren,5,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,buttigieg,4,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,sanders,24,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,harris,11,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,harris,10,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,inslee,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,castro,2,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,moulton,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,harris,10,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,messam,0,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,castro,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,sanders,18,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,swalwell,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,steyer,0,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,messam,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,ryan,1,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,o_rourke,5,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,gravel,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,williamson,0,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,zuckerberg,1,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,yang,3,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,moulton,1,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,buttigieg,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,warren,6,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
BYouGov,550,Adults,williamson,0,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,sanders,13,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,swalwell,0,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,bennet,1,2019-06-06,2019-06-10
BYouGov,550,Adults,delaney,1,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,sanders,16,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,bullock,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,buttigieg,11,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,booker,4,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,buttigieg,8,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,warren,5,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,castro,2,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,sanders,27,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,moulton,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,buttigieg,10,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,harris,6,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,biden,26,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,yang,0,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,biden,32,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,warren,9,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,booker,3,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,warren,4,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,brown,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,bennet,1,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,cuomo,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,buttigieg,2,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,booker,3,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,scott,0,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,bullock,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,sanders,15,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,o_rourke,7,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,swalwell,1,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,warren,10,2019-06-06,2019-06-10
AFox News,469,Likely Voters,bullock,0,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,bloomberg,5,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,bloomberg,3,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,ryan,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,biden,30,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,o_rourke,5,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,klobuchar,4,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,delaney,0,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,sanders,19,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,bullock,1,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,holder,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,booker,4,2019-06-06,2019-06-10
AFox News,469,Likely Voters,gravel,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,harris,6,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,ryan,1,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,delaney,1,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,bennet,0,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,harris,9,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,booker,4,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,williamson,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,warren,40,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,moulton,0,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,warren,5,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,h_clinton,7,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,biden,28,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,brown,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,biden,21,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,yang,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,warren,3,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,harris,14,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,buttigieg,1,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,buttigieg,9,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,yang,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,biden,37,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,warren,8,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,moulton,0,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
C+Harris Interactive,449,Registered Voters,avenatti,2,2019-06-06,2019-06-10
